Barangay,"October 22, 2024 6:00 PM","October 22, 2024 7:00 PM","October 22, 2024 8:00 PM","October 22, 2024 9:00 PM","October 22, 2024 10:00 PM","October 22, 2024 11:00 PM"
Sua,High,High,High,High,High,High
Marupit,None,None,None,None,None,Low
Sto. Tomas,None,None,None,None,None,None
San Juan - San Ramon,None,None,None,None,Low,Low
San Francisco,High,High,High,High,High,High
Tarosanan,High,High,High,High,High,High
Dugcal,High,High,High,High,High,High
San Marcos,High,High,High,High,High,High
San Mateo,High,High,High,High,High,High
San Roque,High,High,High,High,High,High
San Lucas,None,None,Low,Moderate,Moderate,Moderate
San Jose - San Pablo,High,High,High,High,High,High
Sto. Domingo,High,High,High,High,High,High
