Critical Facility,Amenity,"October 22, 2024 6:00 PM","October 22, 2024 7:00 PM","October 22, 2024 8:00 PM","October 22, 2024 9:00 PM","October 22, 2024 10:00 PM","October 22, 2024 11:00 PM"
Camaligan Fish Port (PFDA) office,miscellaneous,None,None,None,None,None,Low
Dugcal Barangay Hall,government,None,None,None,None,None,None
St.Teresa of Calcuta,place_of_worship,None,None,None,None,None,None
Marupit Barangay Chapel,place_of_worship,None,None,None,None,None,None
Petite L'e Tudiant Learning Center,school,None,None,None,None,None,None
Kingdom Hall of Jehovas,place_of_worship,None,None,None,None,None,None
Jehovas Witnesses,place_of_worship,None,None,None,None,None,None
Rovalie Learning School,school,None,None,None,None,None,None
Marupit Main Evacuation Center,evacuation_center,None,None,None,None,None,None
San Ramon Chapel,place_of_worship,None,None,None,None,None,None
San Juan San Ramon Barangay Health Center,hospital,None,None,None,None,None,None
San Juna-San Ramon Barangay Hall,government,None,None,None,None,None,None
Our Lady of Lourdes,place_of_worship,None,None,None,None,None,None
San Mateo Barangay Hall,government,None,None,None,None,None,None
San Mateo Barangay Hall,government,None,None,None,None,None,None
United Methodist Day Care Center,school,None,None,None,None,None,None
San Mateo Barangay Chapel,place_of_worship,None,None,None,None,None,None
San Mateo Health Center (Rent),hospital,None,None,None,None,None,None
Sto.Tomas Barangay Chapel,place_of_worship,None,None,None,None,None,None
Sto.Tomas Barangay Hall,government,None,None,None,None,None,None
San Lucas Barangay Hall,government,None,None,None,None,None,None
San Pablo Chapel,place_of_worship,None,None,None,None,None,None
San Jose Chapel,place_of_worship,None,Low,Low,Moderate,Moderate,High
San Jose-San Pablo Barangay Hall,government,Low,Moderate,High,High,High,High
Municipal Health Office,hospital,None,None,None,None,None,None
Birthing Center,hospital,None,None,None,None,None,None
Municipal Nutrition Action Office,hospital,None,None,None,None,None,None
Sto.Domingo Barangay Chapel,place_of_worship,None,None,None,None,None,None
Sto.Dormingo Barangay Hall (2F),government,None,None,None,Low,Low,Moderate
Sto.Domingo Barangay Health Center (1F),hospital,None,None,None,Low,Low,Moderate
St.Anthony of Padua Parish Church,place_of_worship,None,None,None,None,None,None
Parish Multipurpose Building,place_of_worship,None,None,None,None,None,None
Camaligan PNP Station,police_station,None,None,None,None,None,Low
Catalino Abilay Building,government,None,None,None,Low,Low,Moderate
Camaligan People's Plaza - Multipurpose Area,government,None,None,None,Low,Low,Moderate
LGU Camaligan Main Building,government,None,None,None,None,Low,Low
Cost Guard Outpost,miscellaneous,None,None,None,Low,Moderate,Moderate
Sangguniang Bayan Building,government,None,None,None,None,None,None
Municipal Social Welfare and Development Officce,government,None,None,None,Low,Low,Moderate
CASURECO I Office,miscellaneous,None,None,None,None,None,None
San Marcos Barangay Chapel,place_of_worship,None,None,None,None,None,None
San Marcos Barangay Hall (Overpass),government,None,None,None,None,None,None
NAWASA Water Reservoir (Pumping Station),miscellaneous,None,None,None,Low,Low,Low
San Roque Barangay Health Station,hospital,None,None,Low,Moderate,Moderate,High
San Roque Chapel,place_of_worship,None,None,None,None,None,None
San Roque Barangay Hall (2F),government,None,Low,Low,Moderate,High,High
Barangay Chapel,place_of_worship,None,None,None,None,None,None
Camaligan Fire Station,fire_station,None,None,None,None,None,None
Dugcal Barangay Health Station,hospital,None,None,None,None,None,None
Marupit Barangay Health Station,hospital,None,None,None,None,None,None
Municipal Materials Recovery Facility,miscellaneous,None,None,None,Low,Low,Moderate
Tarosanan Barangay Health Station,hospital,None,None,None,None,None,None
Camaligan Municipal Health Office,hospital,None,None,Low,Low,Moderate,Moderate
Sua Day Care Center,school,None,None,None,None,None,Low
Marupit Elementary School,school,None,None,None,None,None,None
Tampac Chapel,place_of_worship,None,None,None,None,Low,Low
San Roque Elementary School,school,None,None,None,Low,Low,Moderate
Sua Elementary School,school,None,None,None,None,Low,Moderate
Camaligan Central School,school,None,None,None,None,None,None
Camaligan National High School,school,None,None,Low,Moderate,Moderate,Moderate
Dugcal Elementary School,school,None,None,None,None,None,None
Tarosanan-San Francisco Elementary School,school,High,High,High,High,High,High
Sitio Tampac Multipurpose Building,government,None,None,None,None,Low,Low
Sua Evacuation Center,evacuation_center,None,None,None,None,Low,Low
Sua-Sitio Tampac Day Care Center,evacuation_center,None,None,None,None,Low,Low
Camaligan Fishing Port,miscellaneous,High,High,High,High,High,High
Church of Latter Day,place_of_worship,None,None,None,None,None,None
Iglesia Ni Cristo,place_of_worship,None,None,None,None,Low,Moderate
